Pulse,SOC,Positive electrode exchange-current density [A.m-2],Positive electrode diffusivity [m2.s-1]
0,0.949495181582771,1205.3455600160987,6.109697999493468e-14
1,0.9356140513821064,23.629686016087533,2.244392621168655e-14
2,0.921732919496686,43.09225397572027,4.607097849668598e-14
3,0.9078517792161237,271.5728523845037,2.985560341301541e-14
4,0.8939705360800762,5886.736645720568,2.1441772561204705e-14
5,0.8800893880050882,5009.181313654374,2.1050757184882483e-14
6,0.8662082279002206,21.07821441283142,1.14819434605035e-14
7,0.852327074932638,4955.098837551619,7.328404350220348e-15
8,0.8384457865983317,13.039127822004994,3.590061092568822e-15
9,0.8245646359931575,11.794354209458259,2.7393534363315645e-15
10,0.8106834641103942,11.273654027058278,3.580823748985718e-15
11,0.7968022838865927,10.10577346962822,1.1504737892654056e-16
12,0.7829211147236599,9.732358376981352,1.5989688456194803e-15
13,0.7690399606789895,9.063180606520497,3.746868610732216e-15
14,0.7551587756117609,18.79803077757736,4.551065948224352e-16
15,0.7412775838259885,8.205660657892345,4.554795046062462e-15
16,0.7273964097479271,7.835548498904709,3.4389378180435932e-15
17,0.7135152472752335,21.015398616881953,3.8039817147357263e-14
18,0.6996340523563996,6.18580474872598,2.6725708913425156e-15
19,0.6857528659704385,5.292166614341548,3.160551091547182e-15
20,0.6718716904551691,4.986611699812788,2.0900239228324943e-15
21,0.6579904945230527,4.958425823199324,5.212158229542767e-15
22,0.6441093282216793,1579.6895816448887,1.247965041267165e-14
23,0.6302281330736642,6.711617494387277,4.2446077808084736e-16
24,0.6163469454257761,4.866522976540384,1.2071710562872391e-14
25,0.6024657586775832,2.8427730170115724,2.8287392594715717e-15
26,0.5885845836885089,16.83635905939169,4.6033007269033743e-14
27,0.5747033919154253,878.156895608872,2.3988723463722603e-14
28,0.5608221891766386,625.912238440048,1.561360976592192e-14
29,0.5469410230047661,2941.18415251729,9.626257927572545e-15
30,0.533059850637262,157.5925493160462,1.5060757254566658e-14
31,0.519178667385011,2287.4502776559275,2.1883916201921822e-14
32,0.5052974962188306,8272.449257131368,1.0562945648605532e-13
33,0.49141633486811875,262.85310264171403,2.1489919041561255e-13
34,0.47753513101543366,815.2212957109678,2.2176694486150605e-14
35,0.4636539365107834,48.572356445457544,5.0983530936050015e-14
36,0.44977275465764094,30.085009801812003,7.864931762553145e-14
37,0.435891554176334,20.269534492637288,5.1180820586329735e-14
38,0.4220103680111021,20.644486488909315,1.398504247001345e-14
39,0.4081291723615984,14.65690034269547,1.2070404741540108e-14
40,0.39424795181213257,14.675712695412727,1.3632239887393294e-15
41,0.3803667292455095,8.835912549876388,1.5409581943504035e-14
42,0.3664855096742815,13.074193705693157,6.2957453519400565e-15
43,0.3526042907825442,12.22728462274819,7.052773617810072e-15
44,0.3387230819159484,28.4579626813172,6.0209304826647584e-15
45,0.32484187029541367,10.809016876860742,2.7156783749934602e-15
46,0.3109606781120457,6298.74471622313,1.5333596087697827e-14
47,0.29707946859485396,1498.425575589139,2.9495704819502425e-14
48,0.2831983202760018,14.782868838879649,1.1893103539910435e-13
49,0.26931714793119793,15.72683213220998,1.9271715460691392e-14
50,0.25543598192337935,15.74533110285438,1.6134277494278376e-13
51,0.24155484087824056,7208.020778289048,7.888317210054766e-13
52,0.22767369986136457,346.2955494220795,9.845101462094357e-13
53,0.21379256265716923,49.88354036413048,9.736166353199939e-13
54,0.19991138756241422,5219.822131758205,9.9925563869934e-13
55,0.1860302413252083,9912.418053258047,9.999735209449577e-13
56,0.1721491060297707,1286.1467954055297,8.444520376637414e-13
57,0.15826794666496444,2616.0428838596113,7.810799370667501e-13
58,0.14438669304117727,148.13145006428078,9.559154839158355e-13
59,0.13050553886764835,537.0046457089559,1.5770534500090964e-13
60,0.11662437084906939,47.13166567094018,1.2185745696722122e-13
61,0.10274322872810167,176.2443582705677,7.517126382311022e-13
62,0.0888620857083784,1874.571128156719,9.971451806865512e-13
63,0.07498091473119839,7722.383202320549,9.999035220963232e-13
64,0.061099769703865096,1888.341239480439,9.99281920405721e-13
65,0.04721859644149418,1122.7063589190343,9.95824477093575e-13
66,0.03333744489060341,2890.161017035737,1.5940591071391626e-13
67,0.019456271680283417,1.7792260054341114,2.905181428639185e-13
