Time [s],Voltage [V]
0.000000000000000000e+00,1.607885950237012427e-04
9.780300001148134470e-02,1.837910720212797711e-04
1.977963333483785391e-01,2.057090788186592733e-04
2.975803333101794124e-01,2.270061451769789197e-04
3.975750000681728125e-01,2.479495801387120472e-04
4.977973332861438394e-01,2.686845204485425976e-04
5.975753333186730742e-01,2.890790871955251345e-04
6.975753332953900099e-01,3.092975287538300439e-04
7.975753333885222673e-01,3.292936433460626547e-04
8.977996667381376028e-01,3.491292608178815041e-04
9.975753333419561386e-01,3.686967457015812759e-04
1.097680666716769338e+00,3.881371250554943760e-04
1.197576333303004503e+00,4.073453159871115144e-04
1.298066999996080995e+00,4.264916129419426237e-04
1.397602666635066271e+00,4.452962989463753315e-04
1.497626666678115726e+00,4.640180831592469191e-04
1.597872999962419271e+00,4.826053078705385161e-04
1.697914333315566182e+00,5.009946241657578644e-04
1.797574999975040555e+00,5.191697607845437504e-04
1.897652333369478583e+00,5.372611889842620822e-04
1.997701000072993338e+00,5.551874745633330298e-04
2.097918999963440001e+00,5.729952443126812766e-04
2.197576000005938113e+00,5.905665864978349409e-04
2.297873333329334855e+00,6.081021454299446842e-04
2.397755333338864148e+00,6.254168526855534080e-04
2.497575333341956139e+00,6.425784271671587276e-04
2.597575333318673074e+00,6.596362599380401794e-04
2.697659666649997234e+00,6.765707379385953570e-04
2.797970333369448781e+00,6.934072259037885651e-04
2.897957999957725406e+00,7.100556912631291124e-04
2.998070666682906449e+00,7.265930989877185083e-04
3.097787666600197554e+00,7.429359343070759481e-04
3.197589666699059308e+00,7.591655346815018865e-04
3.297809333307668567e+00,7.753370044538843847e-04
3.397951333317905664e+00,7.913717484096942671e-04
3.497788999928161502e+00,8.072361488166962919e-04
3.597590333316475153e+00,8.229753717382768665e-04
3.697822666727006435e+00,8.386643802489517161e-04
3.797575333388522267e+00,8.541626776959250922e-04
3.897575333365239203e+00,8.695855847090482992e-04
3.997575333341956139e+00,8.848964984402126399e-04
4.097578999935649335e+00,9.000936173886478313e-04
4.197792333317920566e+00,9.152053193074106887e-04
4.297651999979279935e+00,9.301534594656790146e-04
4.397831000038422644e+00,9.450403571603404381e-04
4.497785000014118850e+00,9.597864849790190911e-04
4.597788333310745656e+00,9.744341142053997368e-04
4.697693333378992975e+00,9.889632066538318889e-04
4.797709666658192873e+00,1.003405748698367808e-03
4.897917666705325246e+00,1.017770975219603946e-03
4.997639666660688818e+00,1.031959919548148391e-03
5.097980999969877303e+00,1.046134952282182576e-03
5.197690333356149495e+00,1.060120466019812049e-03
5.297693333355709910e+00,1.074047956852045363e-03
5.397972333244979382e+00,1.087915270934545911e-03
5.497594666667282581e+00,1.101595138332397972e-03
5.597968333284370601e+00,1.115281919885244884e-03
5.697630999959073961e+00,1.128774095714865644e-03
5.797710999962873757e+00,1.142222100141460257e-03
5.897929999977350235e+00,1.155592628731094522e-03
5.997628999990411103e+00,1.168799101450923713e-03
6.097797666676342487e+00,1.181973480186799836e-03
6.197793333325535059e+00,1.195031615754904575e-03
6.297923999954946339e+00,1.208014579031798730e-03
6.397622333373874426e+00,1.220850013234370084e-03
6.497643333277665079e+00,1.233635728690933185e-03
6.597675666678696871e+00,1.246331824546206097e-03
6.697834333288483322e+00,1.258953920294585268e-03
6.797966999933123589e+00,1.271483442362846775e-03
6.897924000048078597e+00,1.283902689349167119e-03
6.997575333341956139e+00,1.296196897438583844e-03
7.097587333410046995e+00,1.308448955463147869e-03
7.198034333297982812e+00,1.320667694916146306e-03
7.297673666616901755e+00,1.332703188258620251e-03
7.397681333357468247e+00,1.344698802282669843e-03
7.497698666644282639e+00,1.356611792738593707e-03
7.597892666584812105e+00,1.368462575465548888e-03
7.698149666655808687e+00,1.380238168137639873e-03
7.797714666696265340e+00,1.391851421057312002e-03
7.897761999978683889e+00,1.403440319074828781e-03
7.997981333290226758e+00,1.414968881349170683e-03
8.097761333337984979e+00,1.426364475408004907e-03
8.197970000095665455e+00,1.437722942339359974e-03
8.297575333388522267e+00,1.448933606269071309e-03
8.397578999982215464e+00,1.460110062849884725e-03
