Time [s],Voltage [V]
0.000000000000000000e+00,1.669806663147868240e-04
9.796899976208806038e-02,1.908856508090712523e-04
1.981349999550729990e-01,2.084152896866449953e-04
2.976943333633244038e-01,2.243782159637387665e-04
3.980889997910708189e-01,2.399176856435985107e-04
4.979176665656268597e-01,2.549552232581808915e-04
5.979989999905228615e-01,2.697747591452782923e-04
6.979849999770522118e-01,2.843193605599185101e-04
7.977926665917038918e-01,2.985171806537143067e-04
8.977149997372180223e-01,3.124276033079030884e-04
9.980819998309016228e-01,3.261544199541949489e-04
1.097700999816879630e+00,3.395211231279248116e-04
1.197701666504144669e+00,3.526786266203898405e-04
1.298127333167940378e+00,3.656294745406980969e-04
1.398127666674554348e+00,3.783141627808439631e-04
1.498101666569709778e+00,3.907588234950627780e-04
1.598130333237349987e+00,4.029708666402444846e-04
1.698036999907344580e+00,4.149289654491028880e-04
1.797971999971196055e+00,4.267235533908461144e-04
1.897757999831810594e+00,4.382980978743219796e-04
1.997810333268716931e+00,4.496958054451443473e-04
2.098064999794587493e+00,4.609079241195031262e-04
2.197905333247035742e+00,4.719258098939625419e-04
2.298108999850228429e+00,4.828067006557999925e-04
2.397999999811872840e+00,4.934725356239158880e-04
2.497940333327278495e+00,5.039626831585286050e-04
2.597961666528135538e+00,5.143110537685735128e-04
2.697955333162099123e+00,5.245009142108577422e-04
2.798261999851092696e+00,5.345685880899150042e-04
2.897886999882757664e+00,5.444197763826816479e-04
2.997968333307653666e+00,5.541722143123520641e-04
3.097983333282172680e+00,5.637788347635267708e-04
3.197941666468977928e+00,5.732455285510574183e-04
3.298077666666358709e+00,5.825989616701960933e-04
3.398065333254635334e+00,5.918123444428413735e-04
3.498040666570886970e+00,6.009036471609909913e-04
3.598041999852284789e+00,6.098810937264913549e-04
3.698008666513487697e+00,6.187438976859190292e-04
3.797953000059351325e+00,6.274978897109073509e-04
3.897943333256989717e+00,6.361536613789103844e-04
3.997879333328455687e+00,6.447071812151428322e-04
4.097930666524916887e+00,6.531775312015975854e-04
4.197756333043798804e+00,6.615176608839954536e-04
4.297864000080153346e+00,6.697844812283460002e-04
4.397895333124324679e+00,6.779551230323738360e-04
4.497882333351299167e+00,6.860359256460667274e-04
4.597838999703526497e+00,6.940316756909783308e-04
4.697795999934896827e+00,7.019484208159894583e-04
4.797764999791979790e+00,7.097906280547627844e-04
4.898243333213031292e+00,7.176003113480452058e-04
4.998133333167061210e+00,7.252703027326158581e-04
5.097727000014856458e+00,7.328377062175607396e-04
5.197776999790221453e+00,7.403663473719058769e-04
5.297761999769136310e+00,7.478188812769787216e-04
5.397781666601076722e+00,7.552050887145305173e-04
5.497724666725844145e+00,7.625191078476097712e-04
5.598133999854326248e+00,7.698026219247612427e-04
5.697685666615143418e+00,7.769622745023193862e-04
5.797951000044122338e+00,7.840957084652909427e-04
5.897926333127543330e+00,7.911393601335670132e-04
5.997880666516721249e+00,7.981177367368664892e-04
6.097968333167955279e+00,8.050429230441988630e-04
6.197955999756231904e+00,8.119001596035160069e-04
6.297793666599318385e+00,8.186876580749266000e-04
6.397746333386749029e+00,8.254248785028576486e-04
6.498143333243206143e+00,8.321349556947358044e-04
