Time [s],Voltage [V]
0.000000000000000000e+00,2.070051963258795046e-04
9.813699987716972828e-02,3.431683258848942973e-04
1.976403333246707916e-01,4.745679464150156504e-04
2.981043332256376743e-01,6.041718385987323659e-04
3.980803333688527346e-01,7.302782294602197088e-04
4.976599998772144318e-01,8.529234979346402490e-04
5.980636666063219309e-01,9.736119871804755884e-04
6.979446667246520519e-01,1.090892022050201282e-03
7.980070000048726797e-01,1.205662655417361799e-03
8.979869999457150698e-01,1.317751920369163079e-03
9.979266664013266563e-01,1.427277111538235478e-03
1.097857000073418021e+00,1.534394098043734278e-03
1.197968333261087537e+00,1.639368414384213346e-03
1.297865999862551689e+00,1.741842868960305577e-03
1.397888999897986650e+00,1.842291702877546337e-03
1.497770666610449553e+00,1.940497656078901505e-03
1.597826333250850439e+00,2.036845959249849493e-03
1.697767999954521656e+00,2.131138615979841222e-03
1.797707333229482174e+00,2.223563244617688100e-03
1.897763333283364773e+00,2.314302597216163961e-03
1.997725666733458638e+00,2.403242977458486425e-03
2.097711999900639057e+00,2.490507214824943735e-03
2.197742333170026541e+00,2.576157154262351950e-03
2.297824000008404255e+00,2.660285272355896163e-03
2.397839666577056050e+00,2.742856492496536722e-03
2.497807999840006232e+00,2.823951907850346006e-03
2.597840333357453346e+00,2.903718259532244664e-03
2.697651999769732356e+00,2.981860384925077295e-03
2.798161000013351440e+00,3.059216154493604560e-03
2.898047666531056166e+00,3.134819260577902632e-03
2.997967999894171953e+00,3.209228209299803784e-03
3.098054666537791491e+00,3.282588932314171523e-03
3.197970333276316524e+00,3.354649740345676603e-03
3.297979000024497509e+00,3.425605427852896311e-03
3.397904666606336832e+00,3.495416412171060191e-03
3.498086666688323021e+00,3.564358154294071119e-03
3.598074666457250714e+00,3.632160922085977180e-03
3.698016666574403644e+00,3.698969778524824770e-03
3.797830333234742284e+00,3.764673559779225208e-03
3.897739333333447576e+00,3.829499332433000062e-03
3.997848999919369817e+00,3.893551215761424222e-03
4.097800666699185967e+00,3.956631882932388176e-03
4.197693333262577653e+00,4.018839321388227408e-03
4.297720666509121656e+00,4.080295964889180983e-03
4.397754666628316045e+00,4.140894185953865152e-03
4.497714333236217499e+00,4.200654689680832256e-03
4.597701333230361342e+00,4.259663777696651339e-03
4.697816999861970544e+00,4.318004475798121675e-03
4.797773333266377449e+00,4.375534274760797815e-03
4.897716333158314228e+00,4.432338481076757500e-03
4.998041999991983175e+00,4.488661989824191921e-03
5.097902333363890648e+00,4.544054315470717753e-03
5.197833666577935219e+00,4.598835461550171248e-03
5.297925666440278292e+00,4.653070285680903015e-03
5.397922333329916000e+00,4.706633951637583836e-03
5.497853999724611640e+00,4.759546228875862622e-03
5.597901666536927223e+00,4.811923977455867182e-03
5.697849666699767113e+00,4.863666543797714320e-03
5.797788333380594850e+00,4.914833125560328156e-03
5.897730000084266067e+00,4.965440653564415045e-03
5.997821999946609139e+00,5.015586386323012472e-03
6.097759000025689602e+00,5.065132715399916358e-03
6.198101999936625361e+00,5.114361620580044378e-03
6.298076333245262504e+00,5.162904231367740349e-03
6.397673666477203369e+00,5.210773042259270876e-03
6.497682999819517136e+00,5.258357456743265566e-03
6.598088666563853621e+00,5.305654223764625678e-03
6.698073999956250191e+00,5.352288366456385386e-03
6.797640333184972405e+00,5.398275320369711784e-03
6.898066333262249827e+00,5.444211249286613069e-03
6.998029666487127542e+00,5.489496728472576491e-03
7.097640000050887465e+00,5.534200099913910882e-03
7.197731999913230538e+00,5.578706166025183301e-03
7.297813999932259321e+00,5.622795753944566377e-03
7.397771333111450076e+00,5.666426237330750987e-03
7.497885666554793715e+00,5.709727014253991595e-03
7.597976666642352939e+00,5.752625521441368309e-03
7.697943666717037559e+00,5.795085278084793207e-03
7.797968666534870863e+00,5.837189346665357451e-03
7.897864333121106029e+00,5.878864225909787543e-03
7.997959999833256006e+00,5.920251451361359385e-03
8.097943333210423589e+00,5.961225510108044030e-03
8.197820999892428517e+00,6.001811315920336024e-03
8.297941999975591898e+00,6.042181547180527218e-03
8.397992999991402030e+00,6.082186276881095151e-03
8.497896333225071430e+00,6.121800846187542069e-03
8.597877333173528314e+00,6.161119997155114179e-03
8.697772333398461342e+00,6.200084189457486829e-03
8.797740333247929811e+00,6.238760038925610443e-03
8.898015666520223022e+00,6.277240703209711718e-03
8.998023333260789514e+00,6.315309385235643586e-03
9.098029333166778088e+00,6.353072375702914498e-03
9.197988333413377404e+00,6.390530063810666989e-03
9.297927666455507278e+00,6.427723356247872985e-03
9.397952666506171227e+00,6.464671339397376482e-03
9.497979666572064161e+00,6.501348098261489766e-03
9.597740666707977653e+00,6.537661665424614882e-03
9.697699333308264613e+00,6.573786215803575396e-03
9.797790666576474905e+00,6.609701998230181619e-03
9.897725000046193600e+00,6.645310086789971669e-03
9.998136999784037471e+00,6.680840263551248923e-03
1.009802699997089803e+01,6.715943682755144348e-03
1.019807299971580505e+01,6.750860108587887834e-03
1.029801400005817413e+01,6.785492246553294013e-03
1.039796500001102686e+01,6.819893066639614448e-03
1.049780033319257200e+01,6.854022988093799035e-03
1.059781066654250026e+01,6.887984315402219740e-03
1.069771433318965137e+01,6.921684142981597045e-03
1.079805099987424910e+01,6.955306242229128758e-03
1.089807433332316577e+01,6.988602784982545987e-03
1.099797266651876271e+01,7.021640403475985261e-03
1.109795433329418302e+01,7.054490457123366136e-03
1.119802633323706686e+01,7.087159744277960437e-03
1.129803700000047684e+01,7.119610474734326677e-03
1.139809566666372120e+01,7.151875304491906761e-03
1.149807233316823840e+01,7.183915925067639596e-03
1.159770566667430103e+01,7.215653329368085581e-03
1.169771366659551859e+01,7.247319636929250124e-03
1.179770966665819287e+01,7.278794881976261878e-03
1.189807099988684058e+01,7.310200373503466208e-03
1.199811066663824022e+01,7.341324533458113387e-03
1.209795033326372504e+01,7.372210129255873066e-03
1.219794233329594135e+01,7.402962712271963543e-03
1.229784066672436893e+01,7.433486773471586692e-03
1.239782399986870587e+01,7.463860495707716307e-03
1.249779666657559574e+01,7.494057216440584354e-03
1.259779166639782488e+01,7.524089470645939186e-03
1.269790866668336093e+01,7.553989425404710259e-03
1.279775966657325625e+01,7.583644162700377105e-03
1.289813533308915794e+01,7.613290472201990171e-03
1.299773133336566389e+01,7.642546325850849837e-03
1.309767399984411895e+01,7.671746213537829900e-03
1.319805933325551450e+01,7.700917026870741575e-03
1.329806199995800853e+01,7.729813772646634482e-03
1.339808966661803424e+01,7.758564088231063860e-03
1.349765299982391298e+01,7.787030639792882208e-03
1.359810099983587861e+01,7.815600501683117596e-03
1.369764899997971952e+01,7.843768410795469784e-03
1.379765899991616607e+01,7.871923033838258005e-03
1.389782866649329662e+01,7.899980237289711341e-03
1.399791933316737413e+01,7.927875326009166737e-03
