Time [s],Voltage [V]
0.000000000000000000e+00,1.694604892873416207e-04
9.757633320987224579e-02,1.968218429178435072e-04
1.975473333150148392e-01,2.218868364178537295e-04
2.974269998958334327e-01,2.461049424545578906e-04
3.973673332948237658e-01,2.700205331962114057e-04
4.978126666974276304e-01,2.938769691883724505e-04
5.977909999201074243e-01,3.175069928712533724e-04
6.978266666410490870e-01,3.410438409461279130e-04
7.982763332547619939e-01,3.645678268449332278e-04
8.973783332621678710e-01,3.876745290207641139e-04
9.975273333257064223e-01,4.109487627737181672e-04
1.098125333199277520e+00,4.342395183539639195e-04
1.198124666581861675e+00,4.573044326143072902e-04
1.297634999966248870e+00,4.801766157184644054e-04
1.397737999912351370e+00,5.031266349551561691e-04
1.497727666632272303e+00,5.259764281806849663e-04
1.597606666618958116e+00,5.487268540882446043e-04
1.698221999919041991e+00,5.715769093576270315e-04
1.798001333256252110e+00,5.941916917461264073e-04
1.898135999916121364e+00,6.168257044918535161e-04
1.998064666637219489e+00,6.393519290904863201e-04
2.097843666560947895e+00,6.617884610051073119e-04
2.198189999908208847e+00,6.843127997649120281e-04
2.298109999857842922e+00,7.066899046355112858e-04
2.397555333212949336e+00,7.289096468675353635e-04
2.497877333313226700e+00,7.512759878257792160e-04
2.597675333265215158e+00,7.734855964714320046e-04
2.697455999907106161e+00,7.956484500375952257e-04
2.797522333217784762e+00,8.178332812956446698e-04
2.897688333294354379e+00,8.400002256798332545e-04
2.997646333300508559e+00,8.620828690382140213e-04
3.098006999935023487e+00,8.842176254380410601e-04
3.197642333223484457e+00,9.061574903291267930e-04
3.298247333266772330e+00,9.282770295301983037e-04
3.398267666576430202e+00,9.502354278535341892e-04
3.497755666612647474e+00,9.720466622887515744e-04
3.597967333276756108e+00,9.939875719734974236e-04
3.697561333188787103e+00,1.015765988544489393e-03
3.797287333291023970e+00,1.037547598619673137e-03
3.897440999862737954e+00,1.059398330526237914e-03
3.997470999951474369e+00,1.081199357899754673e-03
4.097635333193466067e+00,1.103006365950423735e-03
4.197713666595518589e+00,1.124767064048645335e-03
4.297850999981164932e+00,1.146519179728714474e-03
4.398246999946422875e+00,1.168307197436274951e-03
4.497716999961994588e+00,1.189875418312662681e-03
4.597554666572250426e+00,1.211505704969620748e-03
4.697412999928928912e+00,1.233123972177321750e-03
4.797984666540287435e+00,1.254881206935945168e-03
4.897860666504129767e+00,1.276471228358179097e-03
4.997664333204738796e+00,1.298023459329309976e-03
5.098155999905429780e+00,1.319708479870427848e-03
5.197862666682340205e+00,1.341209230601016255e-03
5.298105666646733880e+00,1.362811479213715598e-03
5.398195999907329679e+00,1.384367444675827039e-03
5.498121666605584323e+00,1.405875383230727757e-03
5.598132333252578974e+00,1.427389824709753442e-03
5.697415999951772392e+00,1.448736069470341536e-03
5.797747000004164875e+00,1.470293997053889442e-03
5.898080333252437413e+00,1.491841508320953516e-03
5.997976999846287072e+00,1.513285024189281501e-03
6.098155333311296999e+00,1.534779394123326644e-03
6.197629666537977755e+00,1.556113815821804020e-03
6.297550999908708036e+00,1.577535805578155967e-03
6.398208666592836380e+00,1.599107879421604551e-03
6.497834666632115841e+00,1.620450195969853902e-03
6.597639999934472144e+00,1.641819061488805674e-03
6.697609999915584922e+00,1.663215023171442852e-03
6.798330666613765061e+00,1.684763765859452825e-03
6.897411333280615509e+00,1.705954291399992221e-03
6.998048333218321204e+00,1.727470590579149434e-03
7.097897333325818181e+00,1.748811735787593252e-03
7.198073999839834869e+00,1.770216605386965188e-03
7.297810666612349451e+00,1.791521555012233783e-03
7.397500333259813488e+00,1.812810949211812218e-03
7.497419666615314782e+00,1.834144229643066074e-03
7.597941333311609924e+00,1.855601275475508415e-03
7.697451333282515407e+00,1.876837969478689075e-03
7.797727333265356719e+00,1.898234080215206168e-03
7.897389333229511976e+00,1.919495517384271072e-03
7.997956333332695067e+00,1.940946699304699251e-03
8.098009999957866967e+00,1.962286188425301989e-03
8.197674666647799313e+00,1.983542262138249072e-03
8.297736666630953550e+00,2.004881455571969930e-03
8.397964999894611537e+00,2.026254906012211338e-03
8.498108666623011231e+00,2.047609501346316172e-03
8.597743666614405811e+00,2.068855245609179348e-03
8.697397999931126833e+00,2.090105138975443221e-03
8.797782666631974280e+00,2.111511206307262883e-03
8.898313333280384541e+00,2.132949267277456113e-03
8.997442999854683876e+00,2.154089817984826231e-03
9.097272333223372698e+00,2.175381245686276548e-03
9.197490999940782785e+00,2.196757802699775709e-03
9.297892333241179585e+00,2.218175841201619394e-03
9.398095666547305882e+00,2.239554570950290455e-03
9.497516333358362317e+00,2.260769617827839383e-03
9.597893999889492989e+00,2.282192625812225120e-03
9.697705666534602642e+00,2.303494127451649175e-03
9.797580999904312193e+00,2.324800841238054607e-03
9.897772999829612672e+00,2.346176962947428557e-03
9.997513333219103515e+00,2.367458794546674350e-03
1.009751699992921203e+01,2.388799122657480137e-03
1.019771266658790410e+01,2.410182973098792814e-03
1.029768866661470383e+01,2.431522718456560067e-03
1.039750333328265697e+01,2.452831024969702456e-03
1.049772466660942882e+01,2.474229391794851001e-03
1.059750566654838622e+01,2.495537204362748007e-03
1.069771766662597656e+01,2.516940764063368193e-03
1.079792433325201273e+01,2.538347133931704528e-03
1.089819266658741981e+01,2.559770863341699620e-03
1.099763299990445375e+01,2.581022044639207785e-03
1.109731233329512179e+01,2.602328894760956839e-03
1.119761399994604290e+01,2.623773644210360221e-03
1.129729533323552459e+01,2.645088873569640970e-03
1.139774033322464675e+01,2.666567690232208958e-03
1.149820599996019155e+01,2.688055290768127849e-03
1.159760300000198185e+01,2.709318780100467353e-03
1.169814933324232697e+01,2.730832810594640767e-03
1.179823733319062740e+01,2.752253597146062710e-03
1.189746999996714294e+01,2.773496238075569102e-03
1.199728233332280070e+01,2.794868060944970690e-03
1.209776933316607028e+01,2.816389664800543480e-03
1.219736833334900439e+01,2.837726511739170187e-03
1.229786066652741283e+01,2.859260374420052875e-03
1.239765466656535864e+01,2.880650361633095222e-03
1.249824299989268184e+01,2.902216584242283889e-03
1.259807033324614167e+01,2.923625741194238806e-03
1.269749366666655988e+01,2.944954447957655840e-03
1.279780333326198161e+01,2.966479717930772288e-03
1.289759333326946944e+01,2.987895116015347463e-03
1.299779566656798124e+01,3.009393942344752108e-03
1.309774233330972493e+01,3.030841881709761456e-03
1.319817833334673196e+01,3.052398811906757541e-03
1.329732100002001971e+01,3.073682056953473511e-03
1.339769866655115038e+01,3.095234369593424968e-03
1.349764066655188799e+01,3.116697076051776292e-03
1.359746899991296232e+01,3.138139285482311261e-03
1.369813999999314547e+01,3.159766443942592373e-03
1.379771933332085609e+01,3.181162975377024339e-03
1.389816699991934001e+01,3.202750001793486668e-03
1.399822666659019887e+01,3.224257546518166130e-03
1.409746933321002871e+01,3.245593318572569108e-03
1.419742199988104403e+01,3.267085586807099741e-03
1.429784000001382083e+01,3.288681801642090712e-03
1.439767766662407666e+01,3.310157063479903829e-03
1.449765166663564742e+01,3.331633724574316422e-03
1.459804499999154359e+01,3.353129218720608297e-03
1.469789866660721600e+01,3.374489803662255281e-03
1.479798799997661263e+01,3.395879175016468850e-03
1.489785833319183439e+01,3.417197834625841386e-03
1.499759599997196347e+01,3.438461930594194013e-03
1.509778266656212509e+01,3.459792839927425083e-03
1.519763133325614035e+01,3.481020364641876190e-03
1.529809766658581793e+01,3.502344842393795461e-03
1.539809599996078759e+01,3.523532981540386522e-03
1.549768833327107131e+01,3.544595565765218739e-03
1.559776199993211776e+01,3.565717275706274583e-03
1.569788999983575195e+01,3.586804612722972914e-03
1.579799266660120338e+01,3.607837654716572647e-03
1.589806866657454520e+01,3.628812950085829811e-03
1.599799199984408915e+01,3.649700943857428492e-03
1.609781699988525361e+01,3.670546553602750672e-03
1.619820866663940251e+01,3.691529841071601072e-03
1.629819833324290812e+01,3.712389001258570471e-03
1.639778300002217293e+01,3.733122744339792236e-03
1.649815399991348386e+01,3.753977722346182790e-03
1.659740599989891052e+01,3.774557134017172792e-03
1.669762566662393510e+01,3.795292610775082009e-03
1.679731299995910376e+01,3.815872399829225384e-03
1.689748999988660216e+01,3.836506404145735051e-03
1.699810733331833035e+01,3.857182694468529356e-03
1.709816733328625560e+01,3.877695241361177152e-03
1.719763899990357459e+01,3.898037458097226848e-03
1.729770533333066851e+01,3.918450196801770598e-03
1.739817733329255134e+01,3.938893063364885122e-03
1.749821333331055939e+01,3.959193769561765615e-03
1.759749066666699946e+01,3.979286756245180474e-03
1.769769166666083038e+01,3.999560873179609441e-03
1.779785966651979834e+01,4.019872640498804023e-03
1.789734733325894922e+01,4.040014950456626355e-03
1.799728533322922885e+01,4.060217201708954740e-03
1.809754833322949708e+01,4.080454071337307441e-03
1.819750333332922310e+01,4.100598164588993046e-03
1.829764566652011126e+01,4.120749739408470155e-03
1.839823166665155441e+01,4.140960471570300123e-03
1.849811299983412027e+01,4.161000120814203028e-03
1.859740233328193426e+01,4.180892236169546881e-03
1.869781733327545226e+01,4.200981087433650063e-03
1.879780733329243958e+01,4.220956525926799173e-03
1.889761966664809734e+01,4.240868594089915351e-03
1.899771699984557927e+01,4.260809922758994166e-03
1.909766466659493744e+01,4.280694237802853616e-03
1.919791966653428972e+01,4.300612771429925679e-03
1.929806166654452682e+01,4.320460619945350189e-03
1.939741733332630247e+01,4.340085604439317644e-03
1.949785599997267127e+01,4.359887695741574386e-03
1.959813299996312708e+01,4.379620735150106456e-03
1.969778933317866176e+01,4.399194576568542410e-03
1.979815066664014012e+01,4.418869294150208279e-03
1.989745899999979883e+01,4.438300193091763123e-03
1.999770800000987947e+01,4.457877166045920783e-03
2.009761133324354887e+01,4.477348419272530675e-03
2.019807033322285861e+01,4.496889244354753887e-03
2.029729266662616283e+01,4.516151143778197180e-03
2.039779799990355968e+01,4.535622972649921980e-03
