Time [s],Voltage [V]
0.000000000000000000e+00,1.578605208384546233e-04
9.798366681206971407e-02,1.871230235161660963e-04
1.980576668865978718e-01,2.081689514530070959e-04
2.980990000069141388e-01,2.277038128641446996e-04
3.981206667376682162e-01,2.466405506593581827e-04
4.977636667899787426e-01,2.650501551565788471e-04
5.978620001114904881e-01,2.831980178884615671e-04
6.979860002174973488e-01,3.010149639175875146e-04
7.980706667294725776e-01,3.184404339470807638e-04
8.977419999428093433e-01,3.354308916245675324e-04
9.978133334079757333e-01,3.521585695321114524e-04
1.097926000133156776e+00,3.685494863837951354e-04
1.198042000178247690e+00,3.845971906326065741e-04
1.298145000007934868e+00,4.003037967479556626e-04
1.397822999977506697e+00,4.156905050408376276e-04
1.497895666863769293e+00,4.308316302055700299e-04
1.598054666654206812e+00,4.456783089808821373e-04
1.698272000183351338e+00,4.602298715532441133e-04
1.797914666822180152e+00,4.744901353074419464e-04
1.897962333401665092e+00,4.885418807241251370e-04
1.998004666762426496e+00,5.023258784687858591e-04
2.098054000060074031e+00,5.158463018898369482e-04
2.198060000082477927e+00,5.291791660158392694e-04
2.298241666867397726e+00,5.423025117561233038e-04
2.397938666865229607e+00,5.551309146858866362e-04
2.497867000056430697e+00,5.677580615868646442e-04
2.598058000090532005e+00,5.802318889181985523e-04
2.698132000165060163e+00,5.924893876905967197e-04
2.797954000183381140e+00,6.045212720440926646e-04
2.898345333407633007e+00,6.164317937107128978e-04
2.998247333453036845e+00,6.281012770459376733e-04
3.098429666715674102e+00,6.396263712244923535e-04
3.197844666894525290e+00,6.508939290659597346e-04
3.297832000185735524e+00,6.620624042804293830e-04
3.397888000006787479e+00,6.730768479038731896e-04
3.498042000108398497e+00,6.839482049748921806e-04
3.597982333390973508e+00,6.946489124081935617e-04
3.698088666773401201e+00,7.052257188686441615e-04
3.798140000086277723e+00,7.156610285943076173e-04
3.897745000198483467e+00,7.259209854622207395e-04
3.997877000132575631e+00,7.361116683082492493e-04
4.097904333495534956e+00,7.461739905301465522e-04
4.197744666715152562e+00,7.560724900610728792e-04
4.297909666667692363e+00,7.658840989395281074e-04
4.397884333389811218e+00,7.755637107456311331e-04
4.498142333352006972e+00,7.851616644304542725e-04
4.598133333376608789e+00,7.946298704259891366e-04
4.697937000077217817e+00,8.039811818785984983e-04
4.798127333400771022e+00,8.132737050692733557e-04
4.898145999992266297e+00,8.224599684149464266e-04
4.997800666722469032e+00,8.314882622649994500e-04
5.097812000196427107e+00,8.404511910011229926e-04
5.197936000069603324e+00,8.493311927843220791e-04
5.297729666810482740e+00,8.580922357469577318e-04
5.397865000064484775e+00,8.667962667307507404e-04
5.497936000116169453e+00,8.754106014655730619e-04
5.597849666839465499e+00,8.839304747029554403e-04
5.698027333361096680e+00,8.923946558136027721e-04
5.797908333363011479e+00,9.007345181526818251e-04
5.897941333474591374e+00,9.090036876595235325e-04
5.998087000101804733e+00,9.172024025852011696e-04
6.098139666719362140e+00,9.253157187928447028e-04
6.197814333369024098e+00,9.333229768260090705e-04
6.297818999970331788e+00,9.412830153760320517e-04
6.397947333403863013e+00,9.491808237832929799e-04
6.498075333307497203e+00,9.570084071274537890e-04
6.598199000116437674e+00,9.647581642081073114e-04
6.697766333352774382e+00,9.723944479932839771e-04
6.798101666849106550e+00,9.800210783639708850e-04
6.898142666788771749e+00,9.875583244664891923e-04
6.997777333366684616e+00,9.949999439935069447e-04
7.097891000215895474e+00,1.002413490334791608e-03
7.197945666848681867e+00,1.009760224002808661e-03
7.298083666828460991e+00,1.017052079505902790e-03
7.398116333410143852e+00,1.024272488163422996e-03
7.497785666841082275e+00,1.031406731066092982e-03
7.597867333446629345e+00,1.038512168156508148e-03
7.698020000127144158e+00,1.045565445698694784e-03
7.798079000203870237e+00,1.052556289288876339e-03
7.898145999992266297e+00,1.059493176127031039e-03
7.997784000122919679e+00,1.066347447735704456e-03
8.097832333412952721e+00,1.073178155131528002e-03
8.197975666727870703e+00,1.079964678281595701e-03
8.298090000054799020e+00,1.086699867795920191e-03
8.398191666696220636e+00,1.093386157059492592e-03
8.497873666696250439e+00,1.099997964836795005e-03
8.597948333364911377e+00,1.106590489505183310e-03
8.698011000058613718e+00,1.113138114813811298e-03
8.798170000198297203e+00,1.119649178061728895e-03
8.897863666876219213e+00,1.126088697531749073e-03
8.998044333420693874e+00,1.132503348058114864e-03
9.098041333490982652e+00,1.138859800723103803e-03
9.198089000186882913e+00,1.145177556087660338e-03
9.297734333318658173e+00,1.151429236784777153e-03
9.397975333384238183e+00,1.157678353713453802e-03
9.498033333336934447e+00,1.163877133159131735e-03
9.598090999992564321e+00,1.170038014904937942e-03
9.697751000174321234e+00,1.176137767795712701e-03
9.797782000154256821e+00,1.182224465043612074e-03
9.897906000027433038e+00,1.188281957129017335e-03
9.997990000061690807e+00,1.194303186510016056e-03
1.009800700005143881e+01,1.200287598404104449e-03
1.019786933332215995e+01,1.206231068062388074e-03
1.029790333332493901e+01,1.212154023079978476e-03
1.039793333329726011e+01,1.218046999320189071e-03
1.049801366671454161e+01,1.223914192772259085e-03
1.059797266661189497e+01,1.229723738414974406e-03
1.069811700005084276e+01,1.235504941659694563e-03
1.079813033342361450e+01,1.241247018387245295e-03
1.089777866681106389e+01,1.246937448734169659e-03
1.099786833336111158e+01,1.252622926639602834e-03
1.109794100001454353e+01,1.258277910082284410e-03
1.119780666683800519e+01,1.263892444737899252e-03
1.129799433331936598e+01,1.269496907805208559e-03
1.139802866673562676e+01,1.275065323714436039e-03
1.149809733335860074e+01,1.280608873745156659e-03
1.159815433342009783e+01,1.286125686046383923e-03
1.169782900006975979e+01,1.291596157922543205e-03
1.179772966681048274e+01,1.297054417505815252e-03
1.189772933337371796e+01,1.302494088711797851e-03
1.199773600010666996e+01,1.307910813068253585e-03
1.209795100009068847e+01,1.313316107179694726e-03
1.219808433344587684e+01,1.318678108663698043e-03
1.229818100004922599e+01,1.324005822790695446e-03
1.239779066678602248e+01,1.329282500375346182e-03
1.249812433356419206e+01,1.334572625506074035e-03
1.259772933332715183e+01,1.339800026714381507e-03
1.269772966683376580e+01,1.345024235700753839e-03
1.279794299998320639e+01,1.350235930890760286e-03
1.289793900004588068e+01,1.355413156212666257e-03
1.299806333356536925e+01,1.360574262060419183e-03
1.309814133343752474e+01,1.365710639505636178e-03
1.319777366670314223e+01,1.370802376943545779e-03
1.329805633332580328e+01,1.375905841148902234e-03
1.339811866672243923e+01,1.380977007343807666e-03
1.349813133338466287e+01,1.386025032491155747e-03
1.359775133349467069e+01,1.391033159462629369e-03
1.369791000010445714e+01,1.396048585796903167e-03
1.379787566675804555e+01,1.401026493109314760e-03
1.389784433331806213e+01,1.405978958271693769e-03
1.399803066661115736e+01,1.410921085330389983e-03
1.409809566684998572e+01,1.415836398881903596e-03
1.419815366680268198e+01,1.420730832732769282e-03
1.429772966681048274e+01,1.425581577127407696e-03
1.439793233328964561e+01,1.430442872817108604e-03
1.449791566678322852e+01,1.435273831560478610e-03
1.459797200001776218e+01,1.440088898822448286e-03
1.469805100013036281e+01,1.444885902034086234e-03
1.479772933339700103e+01,1.449644933844947484e-03
1.489806366665288806e+01,1.454416649422485015e-03
1.499817066686227918e+01,1.459159197593865335e-03
1.509778066677972674e+01,1.463860277292307593e-03
1.519783833331894130e+01,1.468564761720270303e-03
1.529781600006390363e+01,1.473248020094919137e-03
