Time [s],Voltage [V]
0.000000000000000000e+00,1.757479610282335243e-04
9.771266672760248184e-02,1.844677344527241233e-04
1.975886668078601360e-01,1.921177012074475792e-04
2.980016666697338223e-01,1.993195378954124497e-04
3.974306667223572731e-01,2.061154690508109830e-04
4.975423334399238229e-01,2.127496641931499481e-04
5.973600000143051147e-01,2.191772944785258526e-04
6.974996668286621571e-01,2.254590797088189833e-04
7.976700001163408160e-01,2.315763171303744173e-04
8.981836667517200112e-01,2.375730921661559298e-04
9.977220001164823771e-01,2.434073464246446763e-04
1.097401000093668699e+00,2.491288061348962942e-04
1.197406000108458102e+00,2.547472580897951330e-04
1.297605333384126425e+00,2.602772726120625374e-04
1.397708000033162534e+00,2.657218616384485373e-04
1.497674666694365442e+00,2.710590127322943122e-04
1.598192000063136220e+00,2.763247630898124684e-04
1.697766666766256094e+00,2.814641904599385520e-04
1.798204333405010402e+00,2.865895614866760185e-04
1.897915666806511581e+00,2.915997085693410300e-04
1.998198000132106245e+00,2.965600009427911670e-04
2.097615333506837487e+00,3.014148811741653843e-04
2.197620333405211568e+00,3.062484010674056990e-04
2.297747333417646587e+00,3.110239557459695695e-04
2.397564333514310420e+00,3.157211206921287441e-04
2.497543666744604707e+00,3.203688293644523519e-04
2.597710666828788817e+00,3.249767381962303126e-04
2.697543666814453900e+00,3.295179776663072690e-04
2.797924000187776983e+00,3.340347473064453300e-04
2.897772333351895213e+00,3.384806716355538659e-04
2.998211666825227439e+00,3.429079137477455876e-04
3.097722000093199313e+00,3.472519731798724349e-04
3.197954000090248883e+00,3.515872846297556304e-04
3.297720666741952300e+00,3.558645839314552792e-04
3.397898666793480515e+00,3.601237320386695443e-04
3.497761333361268044e+00,3.643360187739802438e-04
3.598066333332099020e+00,3.685355906865988304e-04
3.697992333443835378e+00,3.726857902142391909e-04
3.797489000135101378e+00,3.767834052254963881e-04
3.898116000113077462e+00,3.808983239551728657e-04
3.997758333454839885e+00,3.849456742713278264e-04
4.097431333386339247e+00,3.889687623051964584e-04
4.197992333443835378e+00,3.930035341208993694e-04
4.297819000086747110e+00,3.969865273979801025e-04
4.397726000053808093e+00,4.009521481334883241e-04
4.497647666838020086e+00,4.048927868348431696e-04
4.598045000107958913e+00,4.088226837886477574e-04
4.697769333375617862e+00,4.127046947311270760e-04
4.797975000110454857e+00,4.165848682278147381e-04
4.898009000113233924e+00,4.204388731073213344e-04
4.998211000114679337e+00,4.242808499442345376e-04
5.098215666715987027e+00,4.280978493770919938e-04
5.198159666731953621e+00,4.318962030192535079e-04
5.297767000040039420e+00,4.356612953757781461e-04
5.398080000071786344e+00,4.394290815394821673e-04
5.498191333492286503e+00,4.431712351775915016e-04
5.597400666796602309e+00,4.468624094393152616e-04
5.697792333434335887e+00,4.505806217212584728e-04
5.797388333361595869e+00,4.542530518765303636e-04
5.897841666708700359e+00,4.579411803244307468e-04
5.998187333461828530e+00,4.616099443436025339e-04
6.097852666745893657e+00,4.652376785241642276e-04
6.197882666718214750e+00,4.688617965147776328e-04
6.298367000068537891e+00,4.724872573466463305e-04
6.397450333344750106e+00,4.760477282977583144e-04
6.497686666785739362e+00,4.796354384040219182e-04
6.597995666670612991e+00,4.832118604508910857e-04
6.698000666801817715e+00,4.867640138462993142e-04
6.798187333508394659e+00,4.903095754822176227e-04
6.897822000086307526e+00,4.938218414110689394e-04
6.997269000043161213e+00,4.973131378453901456e-04
7.097899666754528880e+00,5.008329675718660445e-04
7.197691000066697598e+00,5.043107843408798979e-04
7.297894333372823894e+00,5.077905612203545199e-04
7.398175666807219386e+00,5.112608905955134952e-04
7.497308666817843914e+00,5.146798048992785044e-04
7.597540000104345381e+00,5.181250763455201060e-04
7.697601333376951516e+00,5.215532285767889107e-04
7.797347000101581216e+00,5.249596325702346640e-04
7.897514000069350004e+00,5.283697210128584631e-04
7.997517000068910420e+00,5.317638062643399981e-04
8.097605000017210841e+00,5.351506328547282277e-04
8.197626333450898528e+00,5.385253467021241343e-04
8.298163666739128530e+00,5.419078238629137633e-04
8.398183333454653621e+00,5.452635698420566120e-04
8.497723666718229651e+00,5.485931772442199494e-04
8.597319000051356852e+00,5.519141156863084348e-04
8.697841000044718385e+00,5.552568822880981150e-04
8.797999333357438445e+00,5.585787352178948157e-04
8.897621666779741645e+00,5.618743183103078751e-04
8.997538666706532240e+00,5.651713823265385383e-04
9.097625333350151777e+00,5.684659865619871464e-04
9.197464666794985533e+00,5.717446550043412453e-04
9.298200000077486038e+00,5.750451027562180793e-04
9.397800666745752096e+00,5.783010664673637630e-04
9.497872333507984877e+00,5.815653506163928317e-04
9.597822000039741397e+00,5.848188162337028843e-04
9.698137666797265410e+00,5.880775663484815678e-04
9.798200000193901360e+00,5.913217134605317686e-04
9.897699666791595519e+00,5.945415463561214489e-04
9.997502666781656444e+00,5.977653527380027542e-04
1.009740300010889769e+01,6.009826829931867601e-04
1.019774666673038155e+01,6.042019597074742548e-04
1.029790366673842072e+01,6.074081818402407096e-04
1.039831900002900511e+01,6.106157219662262849e-04
1.049749733344651759e+01,6.137770483326702520e-04
1.059770300018135458e+01,6.169644914925711534e-04
1.069764900009613484e+01,6.201371702212552656e-04
1.079744466673582792e+01,6.232987282092192650e-04
1.089765466679818928e+01,6.264671628109051834e-04
1.099769600003492087e+01,6.296241515083690708e-04
1.109781466668937355e+01,6.327775995885609331e-04
1.119810933340340853e+01,6.359307264155441902e-04
1.129827433347236365e+01,6.390740524638935816e-04
1.139813866675831378e+01,6.422023818170990170e-04
1.149792033340781927e+01,6.453227083818339170e-04
1.159817333344835788e+01,6.484524587300524159e-04
1.169814300013240427e+01,6.515656847632853542e-04
1.179789533349685371e+01,6.546627925818960300e-04
1.189761000010184944e+01,6.577526754729671110e-04
1.199780800007283688e+01,6.608515024621905128e-04
1.209772400010842830e+01,6.639356511222781025e-04
1.219800266681704670e+01,6.670250790558258144e-04
1.229742800013627857e+01,6.700824312778442876e-04
1.239768833341076970e+01,6.731596913933296294e-04
1.249769300012849271e+01,6.762233991995423394e-04
1.259773966681677848e+01,6.792827575962707845e-04
1.269758933340199292e+01,6.823305363604974466e-04
1.279777633340563625e+01,6.853830990444112568e-04
1.289765533350873739e+01,6.884208460152931117e-04
1.299792433343827724e+01,6.914650653278674045e-04
1.309794233343563974e+01,6.944963501298103033e-04
1.319858266680967063e+01,6.975412053706366022e-04
1.329842933337204158e+01,7.005557836765046072e-04
1.339806766679976135e+01,7.035570763142204049e-04
1.349797133344691247e+01,7.065608128078027916e-04
1.359825000003911555e+01,7.095702724006670977e-04
1.369851233344525099e+01,7.125737165391287948e-04
1.379799166671000421e+01,7.155482800247594437e-04
1.389799700002186000e+01,7.185331598999105188e-04
1.399833433341700584e+01,7.215225314757512613e-04
1.409824700013268739e+01,7.244938940531122414e-04
1.419780933333095163e+01,7.274495555054236911e-04
1.429764700005762279e+01,7.304081307444369687e-04
1.439809433335904032e+01,7.333794927179600057e-04
1.449783733335789293e+01,7.363248143044825739e-04
1.459796300006564707e+01,7.392762541763447676e-04
1.469781033345498145e+01,7.422143549052782809e-04
1.479796133341733366e+01,7.451562757853776812e-04
1.489773666672408581e+01,7.480817534785653977e-04
1.499793700012378395e+01,7.510139870486507406e-04
1.509817066672258079e+01,7.539419958219995650e-04
1.519775166676845402e+01,7.568458136997873679e-04
1.529744033340830356e+01,7.597476793448368565e-04
1.539779733342584223e+01,7.626638790732473677e-04
1.549741566681768745e+01,7.655535584033211754e-04
1.559770133334677666e+01,7.684575326396143316e-04
1.569789566681720316e+01,7.713538147746792700e-04
1.579766533349175006e+01,7.742328333772959068e-04
1.589769833337049931e+01,7.771144791491606425e-04
1.599766700004693121e+01,7.799893233949419316e-04
1.609749333339277655e+01,7.828551635221300256e-04
1.619729066675063223e+01,7.857152908807955600e-04
1.629749800008721650e+01,7.885822842231156576e-04
1.639774600008968264e+01,7.914455691019499145e-04
1.649760500015690923e+01,7.942928637167475823e-04
1.659780700004193932e+01,7.971450053224210779e-04
1.669788233342114836e+01,7.999887183673397469e-04
1.679815333336591721e+01,8.028331787401508024e-04
1.689804833335801959e+01,8.056622038135557258e-04
1.699801633344031870e+01,8.084885520621132565e-04
1.709739300014916807e+01,8.112934986499172963e-04
1.719782600004691631e+01,8.141235375592084482e-04
1.729774566681589931e+01,8.169344205152855249e-04
1.739804600004572421e+01,8.197513270104416936e-04
1.749777200014796108e+01,8.225474700299446234e-04
1.759806933347135782e+01,8.253549925882989200e-04
1.769755866669584066e+01,8.281353207175358878e-04
1.779795900010503829e+01,8.309365064881061224e-04
1.789737366675399244e+01,8.337056573179724194e-04
1.799790233338717371e+01,8.365012694471538448e-04
1.809768566675484180e+01,8.392716308359687979e-04
1.819740200007800013e+01,8.420356489797523004e-04
1.829780800011940300e+01,8.448142749839499368e-04
1.839818500017281622e+01,8.475875952189460862e-04
