Time [s],Voltage [V]
0.000000000000000000e+00,1.854476391792952549e-04
9.778400009963661432e-02,2.080775044325965844e-04
1.979006666224449873e-01,2.292421798003531526e-04
2.978946665534749627e-01,2.495596522962025129e-04
3.979793332982808352e-01,2.693033043080411476e-04
4.978053333470597863e-01,2.886092357721787996e-04
5.979719999013468623e-01,3.075967245117131434e-04
6.980436666635796428e-01,3.262086610620994068e-04
7.976166667649522424e-01,3.443513060009360804e-04
8.977629999862983823e-01,3.622511602714832170e-04
9.980586665915325284e-01,3.798585318029308556e-04
1.097595999948680401e+00,3.970028028790567815e-04
1.197671000147238374e+00,4.139082939056200512e-04
1.297849666676484048e+00,4.305336285258008289e-04
1.397931666579097509e+00,4.468763249672115826e-04
1.498013000003993511e+00,4.629206740983861802e-04
1.597673666663467884e+00,4.786012250639147102e-04
1.697848666575737298e+00,4.941019056333357303e-04
1.797932666609995067e+00,5.093611213920599826e-04
1.897596000111661851e+00,5.242961818387756410e-04
1.997626333381049335e+00,5.390253329314274866e-04
2.097799999988637865e+00,5.535455616809267180e-04
2.197663333266973495e+00,5.678217035915144066e-04
2.297837666701525450e+00,5.819123853988542906e-04
2.397624666569754481e+00,5.957196409625849622e-04
2.497857333277352154e+00,6.093730580717831354e-04
2.597929666750133038e+00,6.228101081312932075e-04
2.697736666770651937e+00,6.360108331346274804e-04
2.797973999986425042e+00,6.490719464612188395e-04
2.897686666692607105e+00,6.618744520722670034e-04
2.997863000025972724e+00,6.745506145839672658e-04
3.097629999974742532e+00,6.869949807366785167e-04
3.197782333474606276e+00,6.993119306568982120e-04
3.297802333487197757e+00,7.114459919499854790e-04
3.397831333335489035e+00,7.234234182184999268e-04
3.497860333300195634e+00,7.352449261025306238e-04
3.597597666666842997e+00,7.468823679452504761e-04
3.697597999940626323e+00,7.584061812445289227e-04
3.797685666591860354e+00,7.698010336174666369e-04
3.897788333357311785e+00,7.810641573821655017e-04
3.997948333271779120e+00,7.922008429370563758e-04
4.098004333325661719e+00,8.031812550489155064e-04
4.197975666727870703e+00,8.140262122700857609e-04
4.297608333406969905e+00,8.247134445638631831e-04
4.397653333377093077e+00,8.353278784313764331e-04
